Município,1ª Dose,2ª Dose,3ª Dose,Dose Única,Doses Distribuídas
Barrinha,24795,21905,1906,881,54409
Barueri,231829,209968,20697,6262,490206
Barão De Antonina,2999,2880,595,45,6332
Bastos,18520,17394,2912,477,38952
Batatais,50151,47002,7692,1415,111435
Bauru,311793,279038,46031,8517,662894
Bebedouro,63834,59182,9591,1641,144758
Bento De Abreu,2097,2051,406,72,4694
Bernardino De Campos,10412,9874,1776,205,22764
Bertioga,55388,47350,6681,1819,110035
Bilac,6263,6046,1256,198,13984
Birigui,95917,86334,12087,3518,206317
Biritiba Mirim,24370,22112,2706,858,57108
Boa Esperança Do Sul,10950,10341,1537,417,25677
Bocaina,9223,9046,1593,313,20163
Bofete,8899,7994,1021,292,19107
Boituva,48504,44240,5350,1757,105847
Bom Jesus Dos Perdões,19865,17873,1819,710,45072
Bom Sucesso De Itararé,3051,2911,333,77,6513
Boracéia,3960,3651,655,103,8569
Borborema,12445,12050,2056,401,29037
Borebi,2145,2028,200,50,4822
Borá,840,795,155,10,1933
Botucatu,138552,131141,28695,0,219292
Bragança Paulista,150402,138325,22124,4657,308227
Braúna,4466,4183,774,139,10500
Brejo Alegre,2168,2059,395,72,5075
Brodowski,20359,18688,2916,654,43822
Brotas,19918,18573,2383,609,40910
Buri,16398,14907,1623,472,35307
Buritama,14106,13412,2615,442,29083
Buritizal,3562,3170,563,97,8339
Bálsamo,7521,7392,1419,200,16384
Cabreúva,41979,38770,3320,1438,85407
Cabrália Paulista,3584,3434,568,102,8898
Cachoeira Paulista,24915,22194,3331,855,65183
Caconde,15391,13956,1973,401,33609
Cafelândia,13649,12312,1795,414,29712
Caiabu,3141,2942,341,58,6983
Caieiras,76157,70241,8804,2829,171752
Caiuá,6482,5944,764,62,13137
Cajamar,73500,69313,6108,2342,142123
Cajati,23873,21910,2301,704,53682
Cajobi,7877,7535,1226,272,18787
Cajuru,19988,17694,2874,571,43761
Campina Do Monte Alegre,5237,4993,640,128,11005
Campinas,962844,876262,134653,31789,2165628
Campo Limpo Paulista,63987,57337,6957,2256,140242
Campos Do Jordão,42449,40540,5198,1306,94007
Campos Novos Paulista,3949,3774,630,110,8739
Cananéia,10618,9770,1547,251,23430
Canas,3697,3557,334,130,8869
Canitar,4201,3944,448,141,8658
Capela Do Alto,19616,17610,1489,560,39894
Capivari,41993,39098,4945,1467,93884
Capão Bonito,37990,35095,4491,1044,79274
Caraguatatuba,103915,90228,11631,2884,233054
Carapicuíba,323725,283554,28301,10629,665374
Cardoso,10080,9527,1788,267,23346
Casa Branca,23994,21142,2468,769,56713
Castilho,16285,15157,2761,547,33909
Catanduva,98039,90951,16940,2860,215109
Catiguá,6148,5833,1041,188,12276
Caçapava,76247,69759,9217,2410,167271
Cedral,8791,8010,1365,215,17718
Cerqueira César,19035,18061,2656,400,39025
Cerquilho,38282,36613,4680,1340,80640
Cesário Lange,15333,13729,1767,500,31956
